user_id,item_id,rating,timestamp,movie_title,release_date,age,gender,occupation,zip_code,rating_date,release_year
196,242,3,1997-12-04 15:55:49,Kolya (1996),1997-01-24,49,M,writer,55105,1997-12-04,1997.0
186,302,3,1998-04-04 19:22:22,L.A. Confidential (1997),1997-01-01,39,F,executive,00000,1998-04-04,1997.0
22,377,1,1997-11-07 07:18:36,Heavyweights (1994),1994-01-01,25,M,writer,40206,1997-11-07,1994.0
244,51,2,1997-11-27 05:02:03,Legends of the Fall (1994),1994-01-01,28,M,technician,80525,1997-11-27,1994.0
166,346,1,1998-02-02 05:33:16,Jackie Brown (1997),1997-01-01,47,M,educator,55113,1998-02-02,1997.0
298,474,4,1998-01-07 14:20:06,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),1963-01-01,44,M,executive,01581,1998-01-07,1963.0
115,265,2,1997-12-03 17:51:28,"Hunt for Red October, The (1990)",1990-01-01,31,M,engineer,17110,1997-12-03,1990.0
253,465,5,1998-04-03 18:34:27,"Jungle Book, The (1994)",1994-01-01,26,F,librarian,22903,1998-04-03,1994.0
305,451,3,1998-02-01 09:20:17,Grease (1978),1978-01-01,23,M,programmer,94086,1998-02-01,1978.0
6,86,3,1997-12-31 21:16:53,"Remains of the Day, The (1993)",1993-01-01,42,M,executive,98101,1997-12-31,1993.0
62,257,2,1997-11-12 22:07:14,Men in Black (1997),1997-07-04,27,F,administrator,97214,1997-11-12,1997.0
286,1014,5,1997-11-17 15:38:45,Romy and Michele's High School Reunion (1997),1997-04-25,27,M,student,15217,1997-11-17,1997.0
200,222,5,1997-10-05 09:05:40,Star Trek: First Contact (1996),1996-11-22,40,M,programmer,93402,1997-10-05,1996.0
210,40,3,1998-03-27 21:59:54,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",1995-01-01,39,M,engineer,03060,1998-03-27,1995.0
224,29,3,1998-02-21 23:40:57,Batman Forever (1995),1995-01-01,31,F,educator,43512,1998-02-21,1995.0
303,785,3,1997-11-14 05:28:38,Only You (1994),1994-01-01,19,M,student,14853,1997-11-14,1994.0
122,387,5,1997-11-11 17:47:39,"Age of Innocence, The (1993)",1993-01-01,32,F,writer,22206,1997-11-11,1993.0
194,274,2,1997-11-14 20:36:34,Sabrina (1995),1995-01-01,38,M,administrator,02154,1997-11-14,1995.0
291,1042,4,1997-09-21 09:42:24,Just Cause (1995),1995-01-01,19,M,student,44106,1997-09-21,1995.0
234,1184,2,1998-04-08 23:47:17,"Endless Summer 2, The (1994)",1994-01-01,60,M,retired,94702,1998-04-08,1994.0
119,392,4,1998-01-30 16:13:34,"Man Without a Face, The (1993)",1993-01-01,32,M,programmer,67401,1998-01-30,1993.0
167,486,4,1998-04-16 14:54:12,Sabrina (1954),1954-01-01,37,M,other,L9G2B,1998-04-16,1954.0
299,144,4,1997-10-26 15:55:20,Die Hard (1988),1988-01-01,29,M,doctor,63108,1997-10-26,1988.0
291,118,2,1997-09-21 09:24:38,Twister (1996),1996-05-10,19,M,student,44106,1997-09-21,1996.0
308,1,4,1998-02-17 17:28:52,Toy Story (1995),1995-01-01,60,M,retired,95076,1998-02-17,1995.0
95,546,2,1997-11-10 21:16:06,Broken Arrow (1996),1996-02-09,31,M,administrator,10707,1997-11-10,1996.0
38,95,5,1998-04-13 01:14:54,Aladdin (1992),1992-01-01,28,F,other,54467,1998-04-13,1992.0
102,768,2,1998-01-02 13:40:50,Casper (1995),1995-01-01,38,M,programmer,30220,1998-01-02,1995.0
63,277,4,1997-10-01 23:10:01,Restoration (1995),1995-01-01,31,M,marketing,75240,1997-10-01,1995.0
160,234,5,1997-10-14 20:33:05,Jaws (1975),1975-01-01,27,M,programmer,66215,1997-10-14,1975.0
50,246,3,1997-10-17 01:38:49,Chasing Amy (1997),1997-01-01,21,M,writer,52245,1997-10-17,1997.0
301,98,4,1997-12-14 05:03:47,"Silence of the Lambs, The (1991)",1991-01-01,24,M,student,55439,1997-12-14,1991.0
225,193,4,1997-11-14 20:35:27,"Right Stuff, The (1983)",1983-01-01,51,F,administrator,58202,1997-11-14,1983.0
290,88,4,1997-11-28 15:46:03,Sleepless in Seattle (1993),1993-01-01,40,M,engineer,93550,1997-11-28,1993.0
97,194,3,1998-01-08 05:54:20,"Sting, The (1973)",1973-01-01,43,M,artist,98006,1998-01-08,1973.0
157,274,4,1998-02-07 22:33:55,Sabrina (1995),1995-01-01,57,M,engineer,70808,1998-02-07,1995.0
181,1081,1,1997-11-08 04:17:03,Curdled (1996),1996-09-27,26,M,executive,21218,1997-11-08,1996.0
278,603,5,1998-03-30 22:02:10,Rear Window (1954),1954-01-01,37,F,librarian,30033,1998-03-30,1954.0
276,796,1,1997-09-20 21:45:32,Speechless (1994),1994-01-01,21,M,student,95064,1997-09-20,1994.0
7,32,4,1998-03-31 13:28:52,Crumb (1994),1994-01-01,57,M,administrator,91344,1998-03-31,1994.0
10,16,4,1997-10-26 18:01:17,French Twist (Gazon maudit) (1995),1995-01-01,53,M,lawyer,90703,1997-10-26,1995.0
284,304,4,1998-01-20 20:48:42,Fly Away Home (1996),1996-09-13,40,M,executive,92629,1998-01-20,1996.0
201,979,2,1998-01-06 19:17:13,"Trigger Effect, The (1996)",1996-08-30,27,M,writer,E2A4H,1998-01-06,1996.0
276,564,3,1997-09-20 21:43:25,Tales from the Hood (1995),1995-01-01,21,M,student,95064,1997-09-20,1995.0
